id,db_name,owner_email,manager_email,classification
753550c9-1c64-4048-ba2e-ff7712d20e51,usersdb,john.doe@company.com,lucas.sec@company.com,high
3fa68231-ca5d-4372-90e1-39dffab81c70,usersdb,john.doe@company.com,lucas.sec@company.com,high
e563a95f-b07f-4a90-94c3-0bd28c397d22,usersdb,john.doe@company.com,lucas.sec@company.com,high
d179bfca-9661-4b79-b0bf-3096e6af4c11,usersdb,john.doe@company.com,lucas.sec@company.com,high
12a925bb-c845-49c4-9c70-33988aac9592,usersdb,john.doe@company.com,lucas.sec@company.com,high
5964387e-72f9-4e05-b870-028c90b2f3c7,usersdb,john.doe@company.com,lucas.sec@company.com,high
3efa19b0-4735-4852-a8dd-fb94087b5985,usersdb,john.doe@company.com,lucas.sec@company.com,high
a0aa3284-5b11-4783-9812-d28c201d0deb,usersdb,john.doe@company.com,lucas.sec@company.com,high
58d9b1a2-9e84-4b2e-86ad-132a928f4824,usersdb,john.doe@company.com,lucas.sec@company.com,high
dc9a5893-11ac-41d7-8812-9071d41a05ae,usersdb,john.doe@company.com,lucas.sec@company.com,high
00c4a117-814a-46f1-9a3f-1c1a390a7674,usersdb,john.doe@company.com,lucas.sec@company.com,high
2f798d6a-e40a-4673-bc2c-d4e555d0b1fe,usersdb,john.doe@company.com,lucas.sec@company.com,high
4561d6cc-9fea-4eb1-9000-de3adaae88a4,usersdb,john.doe@company.com,lucas.sec@company.com,high
f8ebd847-c6ce-4a27-9245-75914d5f4024,usersdb,john.doe@company.com,lucas.sec@company.com,high
64c77f0d-f69a-411d-bcd1-5f5e3c738b4a,usersdb,john.doe@company.com,lucas.sec@company.com,high
e1037503-faa5-457f-a0ab-723a67360443,usersdb,john.doe@company.com,lucas.sec@company.com,high
65a541e5-5e79-4cf8-8934-9a5b93f5a583,usersdb,john.doe@company.com,lucas.sec@company.com,high
3eef4a4c-89cf-4b34-b23a-0ee673e6424e,usersdb,john.doe@company.com,lucas.sec@company.com,high
b8590251-7e18-4dbe-b46b-f1a645c24a64,usersdb,john.doe@company.com,lucas.sec@company.com,high
48e7d690-e03b-415a-893b-9d414492b92d,usersdb,john.doe@company.com,lucas.sec@company.com,high
0dc694ed-70d9-44db-8e8e-1ec35ad8bbe9,usersdb,john.doe@company.com,lucas.sec@company.com,high
90928be2-0233-4407-87da-23be5a536f3d,usersdb,john.doe@company.com,lucas.sec@company.com,high
ad1b96c7-adc0-4acc-acca-185ccfb6edf6,usersdb,john.doe@company.com,lucas.sec@company.com,high
1f75193b-9469-493c-aa12-cb387105e8d8,usersdb,john.doe@company.com,lucas.sec@company.com,high
13586c2f-41b9-4577-be44-7220da100eaa,usersdb,john.doe@company.com,lucas.sec@company.com,high
b9129f52-5734-4df6-934e-523006300d5a,usersdb,john.doe@company.com,lucas.sec@company.com,high
c8a770cd-4d8f-468a-a47f-c984d696b23b,usersdb,john.doe@company.com,lucas.sec@company.com,high
d6a70129-4590-40ac-afc8-3e98cacb0d08,usersdb,john.doe@company.com,lucas.sec@company.com,high
80070713-1edb-41e1-96f4-9b480f7515e6,usersdb,john.doe@company.com,lucas.sec@company.com,high
5ef0dcec-3157-4aa9-b2d4-448c4f0ad866,usersdb,john.doe@company.com,lucas.sec@company.com,high
5ecca5e7-7df9-4517-a62a-a10a5935be77,usersdb,john.doe@company.com,lucas.sec@company.com,high
f552d99a-1f15-4a6c-9ab7-701ec0f8b94f,usersdb,john.doe@company.com,lucas.sec@company.com,high
89b30069-ba15-494d-acd4-022bb9e4a759,usersdb,john.doe@company.com,lucas.sec@company.com,high
d14f88f2-0219-4885-a8b6-a08e4f1b48be,usersdb,john.doe@company.com,lucas.sec@company.com,high
3a4da20a-f34c-4e27-b056-050ac642e0c2,usersdb,john.doe@company.com,lucas.sec@company.com,high
930d82ac-80d5-435a-a940-e79444da53cf,usersdb,john.doe@company.com,lucas.sec@company.com,high
2df5f3e2-75bc-4497-b8a0-6f6e169e527b,usersdb,john.doe@company.com,lucas.sec@company.com,high
70e2516f-ccaf-45da-a614-ecfb1ec822f3,usersdb,john.doe@company.com,lucas.sec@company.com,high
2f468f18-a60f-4c13-85ec-507620b435c8,usersdb,john.doe@company.com,lucas.sec@company.com,high
7cd99945-50de-4a25-aad8-6318092de6ce,usersdb,john.doe@company.com,lucas.sec@company.com,high
1ce1ee56-a61a-43ba-8875-88dbfd03c8f0,usersdb,john.doe@company.com,lucas.sec@company.com,high
b7b6d084-3e2f-4396-a184-4ea2c8beceb1,usersdb,john.doe@company.com,lucas.sec@company.com,high
a19e99f6-8f1a-41ae-94bc-98fa9f600b6c,usersdb,john.doe@company.com,lucas.sec@company.com,high
